key,value,date
Assess & Diagnose,145,06/01/12
Collect Clinical Encounter Reason,957,06/01/12
Collect History of Present Illness,1043,06/01/12
Collect Vitals,3852,06/01/12
Collect/Update Social History,436,06/01/12
Collect/Update Special History,132,06/01/12
Collect/Update/Review Patient Provider List Information,4,06/01/12
Conduct Physical Exam,1216,06/01/12
Conduct Procedure,37,06/01/12
Conduct Review of Systems,766,06/01/12
Creating/Sending Out Orders,1075,06/01/12
Enter Patient Flow Tracking,470,06/01/12
Interpret Incoming Clinical Data,49,06/01/12
Plan For or Schedule Follow-Up Appointment,64,06/01/12
Review Social History,215,06/01/12
Review Special History,79,06/01/12
Review/Discuss Documents During Visit,185,06/01/12
Sign-off/Close Encounter,394,06/01/12
Verify Patient Pharmacy Eligibility,393,06/01/12
Assess & Diagnose,33,06/02/12
Collect Clinical Encounter Reason,155,06/02/12
Collect History of Present Illness,149,06/02/12
Collect Vitals,570,06/02/12
Collect/Update Social History,40,06/02/12
Collect/Update Special History,18,06/02/12
Conduct Physical Exam,181,06/02/12
Conduct Procedure,10,06/02/12
Conduct Review of Systems,145,06/02/12
Creating/Sending Out Orders,138,06/02/12
Enter Patient Flow Tracking,84,06/02/12
Interpret Incoming Clinical Data,5,06/02/12
Plan For or Schedule Follow-Up Appointment,3,06/02/12
Review Social History,20,06/02/12
Review Special History,16,06/02/12
Review/Discuss Documents During Visit,14,06/02/12
Sign-off/Close Encounter,50,06/02/12
Verify Patient Pharmacy Eligibility,50,06/02/12
Creating/Sending Out Orders,14,06/03/12
Assess & Diagnose,236,06/04/12
Collect Clinical Encounter Reason,1497,06/04/12
Collect History of Present Illness,1568,06/04/12
Collect Vitals,6124,06/04/12
Collect/Update Confidential Information,2,06/04/12
Collect/Update Social History,667,06/04/12
Collect/Update Special History,215,06/04/12
Collect/Update/Review Patient Provider List Information,16,06/04/12
Conduct & Document Evaluation & Management,10,06/04/12
Conduct Physical Exam,1803,06/04/12
Conduct Procedure,46,06/04/12
Conduct Review of Systems,1197,06/04/12
Creating/Sending Out Orders,1578,06/04/12
Enter Patient Flow Tracking,739,06/04/12
Interpret Incoming Clinical Data,87,06/04/12
Plan For or Schedule Follow-Up Appointment,75,06/04/12
Review Social History,331,06/04/12
Review Special History,149,06/04/12
Review/Discuss Documents During Visit,271,06/04/12
Sign-off/Close Encounter,593,06/04/12
Verify Patient Pharmacy Eligibility,592,06/04/12
Assess & Diagnose,185,06/05/12
Collect Clinical Encounter Reason,1291,06/05/12
Collect History of Present Illness,1339,06/05/12
Collect Vitals,5333,06/05/12
Collect/Update Confidential Information,7,06/05/12
Collect/Update Social History,603,06/05/12
Collect/Update Special History,191,06/05/12
Collect/Update/Review Patient Provider List Information,17,06/05/12
Conduct & Document Evaluation & Management,2,06/05/12
Conduct Physical Exam,1630,06/05/12
Conduct Procedure,42,06/05/12
Conduct Review of Systems,979,06/05/12
Creating/Sending Out Orders,1471,06/05/12
Enter Patient Flow Tracking,654,06/05/12
Interpret Incoming Clinical Data,98,06/05/12
Plan For or Schedule Follow-Up Appointment,134,06/05/12
Review Social History,301,06/05/12
Review Special History,120,06/05/12
Review/Discuss Documents During Visit,256,06/05/12
Sign-off/Close Encounter,537,06/05/12
Verify Patient Pharmacy Eligibility,534,06/05/12
Assess & Diagnose,195,06/06/12
Collect Clinical Encounter Reason,1228,06/06/12
Collect History of Present Illness,1327,06/06/12
Collect Vitals,5059,06/06/12
Collect/Update Confidential Information,3,06/06/12
Collect/Update Social History,512,06/06/12
Collect/Update Special History,158,06/06/12
Collect/Update/Review Patient Provider List Information,3,06/06/12
Conduct & Document Evaluation & Management,2,06/06/12
Conduct Physical Exam,1561,06/06/12
Conduct Procedure,40,06/06/12
Conduct Review of Systems,1003,06/06/12
Creating/Sending Out Orders,1355,06/06/12
Enter Patient Flow Tracking,585,06/06/12
Interpret Incoming Clinical Data,79,06/06/12
Plan For or Schedule Follow-Up Appointment,58,06/06/12
Review Social History,252,06/06/12
Review Special History,97,06/06/12
Review/Discuss Documents During Visit,278,06/06/12
Sign-off/Close Encounter,507,06/06/12
Verify Patient Pharmacy Eligibility,504,06/06/12
Assess & Diagnose,217,06/07/12
Collect Clinical Encounter Reason,1242,06/07/12
Collect History of Present Illness,1265,06/07/12
Collect Vitals,4942,06/07/12
Collect/Update Confidential Information,1,06/07/12
Collect/Update Social History,553,06/07/12
Collect/Update Special History,150,06/07/12
Collect/Update/Review Patient Provider List Information,2,06/07/12
Conduct & Document Evaluation & Management,2,06/07/12
Conduct Physical Exam,1555,06/07/12
Conduct Procedure,56,06/07/12
Conduct Review of Systems,952,06/07/12
Creating/Sending Out Orders,1291,06/07/12
Enter Patient Flow Tracking,578,06/07/12
Interpret Incoming Clinical Data,75,06/07/12
Plan For or Schedule Follow-Up Appointment,73,06/07/12
Review Social History,272,06/07/12
Review Special History,103,06/07/12
Review/Discuss Documents During Visit,240,06/07/12
Sign-off/Close Encounter,503,06/07/12
Verify Patient Pharmacy Eligibility,501,06/07/12
Assess & Diagnose,173,06/08/12
Collect Clinical Encounter Reason,1028,06/08/12
Collect History of Present Illness,1050,06/08/12
Collect Vitals,4261,06/08/12
Collect/Update Confidential Information,1,06/08/12
Collect/Update Social History,434,06/08/12
Collect/Update Special History,144,06/08/12
Collect/Update/Review Patient Provider List Information,13,06/08/12
Conduct Physical Exam,1258,06/08/12
Conduct Procedure,46,06/08/12
Conduct Review of Systems,795,06/08/12
Creating/Sending Out Orders,1082,06/08/12
Enter Patient Flow Tracking,404,06/08/12
Interpret Incoming Clinical Data,66,06/08/12
Plan For or Schedule Follow-Up Appointment,69,06/08/12
Review Social History,214,06/08/12
Review Special History,93,06/08/12
Review/Discuss Documents During Visit,226,06/08/12
Sign-off/Close Encounter,433,06/08/12
Verify Patient Pharmacy Eligibility,433,06/08/12
Assess & Diagnose,14,06/09/12
Collect Clinical Encounter Reason,103,06/09/12
Collect History of Present Illness,148,06/09/12
Collect Vitals,378,06/09/12
Collect/Update Social History,54,06/09/12
Collect/Update Special History,9,06/09/12
Collect/Update/Review Patient Provider List Information,2,06/09/12
Conduct Physical Exam,119,06/09/12
Conduct Procedure,4,06/09/12
Conduct Review of Systems,74,06/09/12
Creating/Sending Out Orders,94,06/09/12
Enter Patient Flow Tracking,30,06/09/12
Interpret Incoming Clinical Data,7,06/09/12
Plan For or Schedule Follow-Up Appointment,2,06/09/12
Review Social History,27,06/09/12
Review Special History,14,06/09/12
Review/Discuss Documents During Visit,25,06/09/12
Sign-off/Close Encounter,34,06/09/12
Verify Patient Pharmacy Eligibility,34,06/09/12
Assess & Diagnose,1,06/10/12
Creating/Sending Out Orders,31,06/10/12
Assess & Diagnose,202,06/11/12
Collect Clinical Encounter Reason,1294,06/11/12
Collect History of Present Illness,1448,06/11/12
Collect Vitals,5556,06/11/12
Collect/Update Confidential Information,1,06/11/12
Collect/Update Social History,522,06/11/12
Collect/Update Special History,102,06/11/12
Collect/Update/Review Patient Provider List Information,14,06/11/12
Conduct & Document Evaluation & Management,2,06/11/12
Conduct Physical Exam,1694,06/11/12
Conduct Procedure,42,06/11/12
Conduct Review of Systems,1124,06/11/12
Creating/Sending Out Orders,1502,06/11/12
Enter Patient Flow Tracking,619,06/11/12
Interpret Incoming Clinical Data,70,06/11/12
Plan For or Schedule Follow-Up Appointment,76,06/11/12
Review Social History,258,06/11/12
Review Special History,73,06/11/12
Review/Discuss Documents During Visit,287,06/11/12
Sign-off/Close Encounter,545,06/11/12
Verify Patient Pharmacy Eligibility,542,06/11/12
Assess & Diagnose,177,06/12/12
Collect Clinical Encounter Reason,1225,06/12/12
Collect History of Present Illness,1269,06/12/12
Collect Vitals,4933,06/12/12
Collect/Update Confidential Information,3,06/12/12
Collect/Update Social History,538,06/12/12
Collect/Update Special History,187,06/12/12
Collect/Update/Review Patient Provider List Information,10,06/12/12
Conduct Physical Exam,1489,06/12/12
Conduct Procedure,53,06/12/12
Conduct Review of Systems,888,06/12/12
Creating/Sending Out Orders,1313,06/12/12
Enter Patient Flow Tracking,604,06/12/12
