dep_id,key,value,date
6,Assess & Diagnose,3,06/01/12
6,Assess & Diagnose,0,06/02/12
6,Assess & Diagnose,0,06/03/12
6,Assess & Diagnose,8,06/04/12
6,Assess & Diagnose,16,06/05/12
6,Assess & Diagnose,9,06/06/12
6,Assess & Diagnose,10,06/07/12
6,Assess & Diagnose,5,06/08/12
6,Assess & Diagnose,0,06/09/12
6,Assess & Diagnose,0,06/10/12
6,Assess & Diagnose,9,06/11/12
6,Assess & Diagnose,8,06/12/12
6,Assess & Diagnose,5,06/13/12
6,Assess & Diagnose,13,06/14/12
6,Assess & Diagnose,5,06/15/12
6,Assess & Diagnose,0,06/16/12
6,Assess & Diagnose,0,06/17/12
6,Assess & Diagnose,10,06/18/12
6,Assess & Diagnose,8,06/19/12
6,Assess & Diagnose,3,06/20/12
6,Assess & Diagnose,6,06/21/12
6,Assess & Diagnose,7,06/22/12
6,Assess & Diagnose,0,06/23/12
6,Assess & Diagnose,0,06/24/12
6,Assess & Diagnose,12,06/25/12
6,Assess & Diagnose,6,06/26/12
6,Assess & Diagnose,9,06/27/12
6,Assess & Diagnose,16,06/28/12
6,Assess & Diagnose,5,06/29/12
6,Assess & Diagnose,0,06/30/12
6,Collect Clinical Encounter Reason,255,06/01/12
6,Collect Clinical Encounter Reason,0,06/02/12
6,Collect Clinical Encounter Reason,0,06/03/12
6,Collect Clinical Encounter Reason,265,06/04/12
6,Collect Clinical Encounter Reason,377,06/05/12
6,Collect Clinical Encounter Reason,220,06/06/12
6,Collect Clinical Encounter Reason,262,06/07/12
6,Collect Clinical Encounter Reason,262,06/08/12
6,Collect Clinical Encounter Reason,0,06/09/12
6,Collect Clinical Encounter Reason,0,06/10/12
6,Collect Clinical Encounter Reason,250,06/11/12
6,Collect Clinical Encounter Reason,325,06/12/12
6,Collect Clinical Encounter Reason,215,06/13/12
6,Collect Clinical Encounter Reason,172,06/14/12
6,Collect Clinical Encounter Reason,284,06/15/12
6,Collect Clinical Encounter Reason,0,06/16/12
6,Collect Clinical Encounter Reason,0,06/17/12
6,Collect Clinical Encounter Reason,224,06/18/12
6,Collect Clinical Encounter Reason,320,06/19/12
6,Collect Clinical Encounter Reason,252,06/20/12
6,Collect Clinical Encounter Reason,247,06/21/12
6,Collect Clinical Encounter Reason,267,06/22/12
6,Collect Clinical Encounter Reason,0,06/23/12
6,Collect Clinical Encounter Reason,0,06/24/12
6,Collect Clinical Encounter Reason,263,06/25/12
6,Collect Clinical Encounter Reason,331,06/26/12
6,Collect Clinical Encounter Reason,196,06/27/12
6,Collect Clinical Encounter Reason,274,06/28/12
6,Collect Clinical Encounter Reason,329,06/29/12
6,Collect Clinical Encounter Reason,0,06/30/12
6,Collect History of Present Illness,297,06/01/12
6,Collect History of Present Illness,0,06/02/12
6,Collect History of Present Illness,0,06/03/12
6,Collect History of Present Illness,290,06/04/12
6,Collect History of Present Illness,394,06/05/12
6,Collect History of Present Illness,250,06/06/12
6,Collect History of Present Illness,246,06/07/12
6,Collect History of Present Illness,286,06/08/12
6,Collect History of Present Illness,0,06/09/12
6,Collect History of Present Illness,0,06/10/12
6,Collect History of Present Illness,309,06/11/12
6,Collect History of Present Illness,393,06/12/12
6,Collect History of Present Illness,238,06/13/12
6,Collect History of Present Illness,227,06/14/12
6,Collect History of Present Illness,314,06/15/12
6,Collect History of Present Illness,0,06/16/12
6,Collect History of Present Illness,0,06/17/12
6,Collect History of Present Illness,244,06/18/12
6,Collect History of Present Illness,355,06/19/12
6,Collect History of Present Illness,260,06/20/12
6,Collect History of Present Illness,289,06/21/12
6,Collect History of Present Illness,255,06/22/12
6,Collect History of Present Illness,0,06/23/12
6,Collect History of Present Illness,0,06/24/12
6,Collect History of Present Illness,303,06/25/12
6,Collect History of Present Illness,315,06/26/12
6,Collect History of Present Illness,270,06/27/12
6,Collect History of Present Illness,338,06/28/12
6,Collect History of Present Illness,440,06/29/12
6,Collect History of Present Illness,0,06/30/12
6,Collect Vitals,897,06/01/12
6,Collect Vitals,0,06/02/12
6,Collect Vitals,0,06/03/12
6,Collect Vitals,1290,06/04/12
6,Collect Vitals,1627,06/05/12
6,Collect Vitals,994,06/06/12
6,Collect Vitals,1071,06/07/12
6,Collect Vitals,1039,06/08/12
6,Collect Vitals,0,06/09/12
6,Collect Vitals,0,06/10/12
6,Collect Vitals,1320,06/11/12
6,Collect Vitals,1375,06/12/12
6,Collect Vitals,976,06/13/12
6,Collect Vitals,786,06/14/12
6,Collect Vitals,1196,06/15/12
6,Collect Vitals,0,06/16/12
6,Collect Vitals,0,06/17/12
6,Collect Vitals,929,06/18/12
6,Collect Vitals,1205,06/19/12
6,Collect Vitals,1016,06/20/12
6,Collect Vitals,971,06/21/12
6,Collect Vitals,1020,06/22/12
6,Collect Vitals,0,06/23/12
6,Collect Vitals,0,06/24/12
6,Collect Vitals,1212,06/25/12
6,Collect Vitals,1326,06/26/12
6,Collect Vitals,888,06/27/12
6,Collect Vitals,1188,06/28/12
6,Collect Vitals,1399,06/29/12
6,Collect Vitals,0,06/30/12
6,Collect/Update Confidential Information,0,06/01/12
6,Collect/Update Confidential Information,0,06/02/12
6,Collect/Update Confidential Information,0,06/03/12
6,Collect/Update Confidential Information,2,06/04/12
6,Collect/Update Confidential Information,7,06/05/12
6,Collect/Update Confidential Information,3,06/06/12
6,Collect/Update Confidential Information,1,06/07/12
6,Collect/Update Confidential Information,1,06/08/12
6,Collect/Update Confidential Information,0,06/09/12
6,Collect/Update Confidential Information,0,06/10/12
6,Collect/Update Confidential Information,1,06/11/12
6,Collect/Update Confidential Information,2,06/12/12
6,Collect/Update Confidential Information,2,06/13/12
6,Collect/Update Confidential Information,0,06/14/12
6,Collect/Update Confidential Information,0,06/15/12
6,Collect/Update Confidential Information,0,06/16/12
6,Collect/Update Confidential Information,0,06/17/12
6,Collect/Update Confidential Information,5,06/18/12
